D:\GITHUB\ELL784\Assignment1\NeuralNetwork\activations.py:6: RuntimeWarning: overflow encountered in exp
  return 1 / (1 + np.exp(-x))
1/150, error=0.0915, accuracy=0.2988, val_error=0.0738, val_accuracy=0.4225
2/150, error=0.0634, accuracy=0.5146, val_error=0.055, val_accuracy=0.587
3/150, error=0.0494, accuracy=0.6413, val_error=0.0452, val_accuracy=0.674
4/150, error=0.0432, accuracy=0.6899, val_error=0.0422, val_accuracy=0.692
5/150, error=0.0392, accuracy=0.7208, val_error=0.0377, val_accuracy=0.722
6/150, error=0.0362, accuracy=0.7442, val_error=0.0357, val_accuracy=0.7505
7/150, error=0.0344, accuracy=0.7581, val_error=0.0351, val_accuracy=0.763
8/150, error=0.0336, accuracy=0.7638, val_error=0.0332, val_accuracy=0.7685
9/150, error=0.0313, accuracy=0.7818, val_error=0.0313, val_accuracy=0.779
10/150, error=0.0304, accuracy=0.7892, val_error=0.0299, val_accuracy=0.795
11/150, error=0.0291, accuracy=0.8001, val_error=0.0295, val_accuracy=0.799
12/150, error=0.0292, accuracy=0.7984, val_error=0.0285, val_accuracy=0.803
13/150, error=0.0271, accuracy=0.8139, val_error=0.0274, val_accuracy=0.8105
14/150, error=0.0269, accuracy=0.816, val_error=0.0264, val_accuracy=0.8155
15/150, error=0.0258, accuracy=0.823, val_error=0.0251, val_accuracy=0.83
16/150, error=0.0252, accuracy=0.8266, val_error=0.0261, val_accuracy=0.818
17/150, error=0.0245, accuracy=0.834, val_error=0.025, val_accuracy=0.8295
18/150, error=0.0242, accuracy=0.8351, val_error=0.024, val_accuracy=0.8315
19/150, error=0.0237, accuracy=0.8374, val_error=0.0248, val_accuracy=0.829
20/150, error=0.0241, accuracy=0.8342, val_error=0.0241, val_accuracy=0.8335
21/150, error=0.0235, accuracy=0.8388, val_error=0.0242, val_accuracy=0.8315
22/150, error=0.0233, accuracy=0.843, val_error=0.0236, val_accuracy=0.844
23/150, error=0.0226, accuracy=0.8462, val_error=0.0236, val_accuracy=0.839
24/150, error=0.0226, accuracy=0.8481, val_error=0.0229, val_accuracy=0.842
25/150, error=0.0222, accuracy=0.8496, val_error=0.022, val_accuracy=0.8535
26/150, error=0.0221, accuracy=0.8506, val_error=0.0214, val_accuracy=0.8585
27/150, error=0.0217, accuracy=0.8539, val_error=0.0214, val_accuracy=0.8595
28/150, error=0.0212, accuracy=0.8572, val_error=0.0219, val_accuracy=0.849
29/150, error=0.021, accuracy=0.8576, val_error=0.0207, val_accuracy=0.86
30/150, error=0.0205, accuracy=0.8606, val_error=0.0206, val_accuracy=0.86
31/150, error=0.0198, accuracy=0.8661, val_error=0.0194, val_accuracy=0.869
32/150, error=0.0195, accuracy=0.8691, val_error=0.0183, val_accuracy=0.87
33/150, error=0.0199, accuracy=0.866, val_error=0.0182, val_accuracy=0.882
34/150, error=0.0198, accuracy=0.8683, val_error=0.0187, val_accuracy=0.876
35/150, error=0.0196, accuracy=0.8688, val_error=0.0189, val_accuracy=0.8685
36/150, error=0.0195, accuracy=0.8693, val_error=0.0188, val_accuracy=0.8765
37/150, error=0.019, accuracy=0.8733, val_error=0.0183, val_accuracy=0.88
38/150, error=0.0188, accuracy=0.8728, val_error=0.0191, val_accuracy=0.866
39/150, error=0.0186, accuracy=0.8744, val_error=0.0183, val_accuracy=0.8785
40/150, error=0.0185, accuracy=0.8773, val_error=0.0195, val_accuracy=0.872
41/150, error=0.0185, accuracy=0.8768, val_error=0.0185, val_accuracy=0.872
42/150, error=0.0181, accuracy=0.8783, val_error=0.0176, val_accuracy=0.886
43/150, error=0.0178, accuracy=0.8814, val_error=0.0176, val_accuracy=0.882
44/150, error=0.018, accuracy=0.8784, val_error=0.0186, val_accuracy=0.881
45/150, error=0.0182, accuracy=0.8783, val_error=0.019, val_accuracy=0.875
46/150, error=0.0179, accuracy=0.8821, val_error=0.0183, val_accuracy=0.875
47/150, error=0.0183, accuracy=0.8773, val_error=0.0186, val_accuracy=0.873
48/150, error=0.0181, accuracy=0.8796, val_error=0.018, val_accuracy=0.879
49/150, error=0.0177, accuracy=0.8815, val_error=0.0183, val_accuracy=0.875
50/150, error=0.0173, accuracy=0.8841, val_error=0.0174, val_accuracy=0.8855
51/150, error=0.0175, accuracy=0.8831, val_error=0.018, val_accuracy=0.8765
52/150, error=0.0178, accuracy=0.8808, val_error=0.0184, val_accuracy=0.8775
53/150, error=0.0173, accuracy=0.8828, val_error=0.0179, val_accuracy=0.8785
54/150, error=0.0174, accuracy=0.8842, val_error=0.0182, val_accuracy=0.875
55/150, error=0.017, accuracy=0.8862, val_error=0.0182, val_accuracy=0.875
56/150, error=0.017, accuracy=0.886, val_error=0.0178, val_accuracy=0.8765
57/150, error=0.0165, accuracy=0.8902, val_error=0.0169, val_accuracy=0.8875
58/150, error=0.0169, accuracy=0.8876, val_error=0.0178, val_accuracy=0.8805
59/150, error=0.0174, accuracy=0.8832, val_error=0.0188, val_accuracy=0.875
60/150, error=0.0171, accuracy=0.8849, val_error=0.0178, val_accuracy=0.8825
61/150, error=0.0168, accuracy=0.8881, val_error=0.0176, val_accuracy=0.88
62/150, error=0.0167, accuracy=0.8891, val_error=0.0184, val_accuracy=0.8685
63/150, error=0.017, accuracy=0.8876, val_error=0.0178, val_accuracy=0.877
64/150, error=0.017, accuracy=0.8865, val_error=0.0173, val_accuracy=0.887
65/150, error=0.0164, accuracy=0.8912, val_error=0.0176, val_accuracy=0.884
66/150, error=0.0164, accuracy=0.8913, val_error=0.0169, val_accuracy=0.8875
67/150, error=0.0164, accuracy=0.8902, val_error=0.0177, val_accuracy=0.8815
